Year,CrimeType,Count
2019,"",539
2019,ARSON,199
2019,BURG - AUTO,12490
2019,BURG - COMMERCIAL,712
2019,BURG - OTHER,163
2019,BURG - RESIDENTIAL,2011
2019,CURFEW & LOITERING,294
2019,DISORDERLY CONDUCT,1238
2019,DOMESTIC VIOLENCE,4056
2019,DUI,354
2019,FELONY ASSAULT,1853
2019,FORCIBLE RAPE,377
2019,FORGERY & COUNTERFEITING,1353
2019,FRAUD,938
2019,GRAND THEFT,2556
2019,HOMICIDE,659
2019,MISDEMEANOR ASSAULT,4680
2019,NARCOTICS,1360
2019,OTHER,2463
2019,OTHER SEX OFFENSES,358
2019,PETTY THEFT,5263
2019,PROSTITUTION,390
2019,RECOVERED O/S STOLEN,759
2019,ROBBERY,2971
2019,STOLEN AND RECOVERED VEHICLE,218
2019,STOLEN VEHICLE,6000
2019,THREATS,1284
2019,TOWED VEHICLE,356
2019,VANDALISM,6290
2019,WEAPONS,1241
2020,"",1081
2020,ARSON,261
2020,BURG - AUTO,6343
2020,BURG - COMMERCIAL,1084
2020,BURG - OTHER,222
2020,BURG - RESIDENTIAL,1456
2020,CURFEW & LOITERING,234
2020,DISORDERLY CONDUCT,734
2020,DOMESTIC VIOLENCE,3610
2020,DUI,277
2020,FELONY ASSAULT,3193
2020,FORCIBLE RAPE,334
2020,FORGERY & COUNTERFEITING,1204
2020,FRAUD,873
2020,GRAND THEFT,2312
2020,HOMICIDE,890
2020,MISDEMEANOR ASSAULT,4954
2020,NARCOTICS,886
2020,OTHER,2320
2020,OTHER SEX OFFENSES,330
2020,PETTY THEFT,4055
2020,PROSTITUTION,226
2020,RECOVERED O/S STOLEN,1448
2020,ROBBERY,2736
2020,STOLEN AND RECOVERED VEHICLE,445
2020,STOLEN VEHICLE,7393
2020,THREATS,1295
2020,TOWED VEHICLE,299
2020,VANDALISM,5799
2020,WEAPONS,1381
2021,"",552
2021,ARSON,215
2021,BURG - AUTO,8527
2021,BURG - COMMERCIAL,919
2021,BURG - OTHER,226
2021,BURG - RESIDENTIAL,1275
2021,CURFEW & LOITERING,227
2021,DISORDERLY CONDUCT,820
2021,DOMESTIC VIOLENCE,3438
2021,DUI,248
2021,FELONY ASSAULT,4402
2021,FORCIBLE RAPE,288
2021,FORGERY & COUNTERFEITING,1708
2021,FRAUD,731
2021,GRAND THEFT,2389
2021,HOMICIDE,917
2021,MISDEMEANOR ASSAULT,4100
2021,NARCOTICS,738
2021,OTHER,2120
2021,OTHER SEX OFFENSES,316
2021,PETTY THEFT,4868
2021,PROSTITUTION,257
2021,RECOVERED O/S STOLEN,1514
2021,ROBBERY,3207
2021,STOLEN AND RECOVERED VEHICLE,485
2021,STOLEN VEHICLE,7669
2021,THREATS,1408
2021,TOWED VEHICLE,548
2021,VANDALISM,7583
2021,WEAPONS,1277
2022,"",521
2022,ARSON,219
2022,BURG - AUTO,11294
2022,BURG - COMMERCIAL,1727
2022,BURG - OTHER,209
2022,BURG - RESIDENTIAL,1359
2022,CURFEW & LOITERING,166
2022,DISORDERLY CONDUCT,719
2022,DOMESTIC VIOLENCE,3199
2022,DUI,175
2022,FELONY ASSAULT,3824
2022,FORCIBLE RAPE,312
2022,FORGERY & COUNTERFEITING,2003
2022,FRAUD,908
2022,GRAND THEFT,3359
2022,HOMICIDE,889
2022,MISDEMEANOR ASSAULT,3937
2022,NARCOTICS,862
2022,OTHER,2131
2022,OTHER SEX OFFENSES,274
2022,PETTY THEFT,6453
2022,PROSTITUTION,162
2022,RECOVERED O/S STOLEN,1613
2022,ROBBERY,3275
2022,STOLEN AND RECOVERED VEHICLE,737
2022,STOLEN VEHICLE,8430
2022,THREATS,1217
2022,TOWED VEHICLE,402
2022,VANDALISM,9014
2022,WEAPONS,1740
2023,"",440
2023,ARSON,191
2023,BURG - AUTO,15484
2023,BURG - COMMERCIAL,2116
2023,BURG - OTHER,398
2023,BURG - RESIDENTIAL,1730
2023,CURFEW & LOITERING,249
2023,DISORDERLY CONDUCT,742
2023,DOMESTIC VIOLENCE,2995
2023,DUI,242
2023,FELONY ASSAULT,3823
2023,FORCIBLE RAPE,388
2023,FORGERY & COUNTERFEITING,984
2023,FRAUD,665
2023,GRAND THEFT,3573
2023,HOMICIDE,949
2023,MISDEMEANOR ASSAULT,4096
2023,NARCOTICS,529
2023,OTHER,2051
2023,OTHER SEX OFFENSES,263
2023,PETTY THEFT,6429
2023,PROSTITUTION,140
2023,RECOVERED O/S STOLEN,450
2023,ROBBERY,4461
2023,STOLEN AND RECOVERED VEHICLE,1421
2023,STOLEN VEHICLE,11258
2023,THREATS,1457
2023,TOWED VEHICLE,190
2023,VANDALISM,6693
2023,WEAPONS,1185
2024,"",448
2024,ARSON,145
2024,BURG - AUTO,7239
2024,BURG - COMMERCIAL,1769
2024,BURG - OTHER,377
2024,BURG - RESIDENTIAL,1434
2024,CURFEW & LOITERING,267
2024,DISORDERLY CONDUCT,847
2024,DOMESTIC VIOLENCE,2815
2024,DUI,212
2024,FELONY ASSAULT,2721
2024,FORCIBLE RAPE,313
2024,FORGERY & COUNTERFEITING,575
2024,FRAUD,568
2024,GRAND THEFT,2891
2024,HOMICIDE,860
2024,MISDEMEANOR ASSAULT,4503
2024,NARCOTICS,857
2024,OTHER,1661
2024,OTHER SEX OFFENSES,271
2024,PETTY THEFT,5743
2024,PROSTITUTION,109
2024,RECOVERED O/S STOLEN,470
2024,ROBBERY,3483
2024,STOLEN AND RECOVERED VEHICLE,664
2024,STOLEN VEHICLE,9212
2024,THREATS,810
2024,TOWED VEHICLE,14
2024,VANDALISM,4942
2024,WEAPONS,1308
2025,"",2764
2025,ARSON,89
2025,BURG - AUTO,2118
2025,BURG - COMMERCIAL,421
2025,BURG - OTHER,84
2025,BURG - RESIDENTIAL,605
2025,CURFEW & LOITERING,153
2025,DISORDERLY CONDUCT,408
2025,DOMESTIC VIOLENCE,1179
2025,DUI,170
2025,FELONY ASSAULT,1188
2025,FORCIBLE RAPE,162
2025,FORGERY & COUNTERFEITING,145
2025,FRAUD,119
2025,GRAND THEFT,717
2025,HOMICIDE,416
2025,MISDEMEANOR ASSAULT,1882
2025,NARCOTICS,744
2025,OTHER,659
2025,OTHER SEX OFFENSES,85
2025,PETTY THEFT,2112
2025,PROSTITUTION,29
2025,RECOVERED O/S STOLEN,152
2025,ROBBERY,1189
2025,STOLEN AND RECOVERED VEHICLE,145
2025,STOLEN VEHICLE,2752
2025,THREATS,362
2025,TOWED VEHICLE,2
2025,VANDALISM,1188
2025,WEAPONS,593
